benchmark_tag,best_fixed_success,episode_seed,family,git_commit,keep_collision_free,keep_completion_time,keep_deadlock,keep_goal_reached,keep_irreversible_collapse,keep_success,keep_time_in_formation_tube,layout_id,line_collision_free,line_completion_time,line_deadlock,line_goal_reached,line_irreversible_collapse,line_success,line_time_in_formation_tube,oracle_collision_free,oracle_completion_time,oracle_deadlock,oracle_goal_reached,oracle_irreversible_collapse,oracle_success,oracle_switches,oracle_time_in_formation_tube,split_collision_free,split_completion_time,split_deadlock,split_goal_reached,split_irreversible_collapse,split_success,split_time_in_formation_tube,switch_necessity,team_size
method-audit-v2-complete,1.0,20000402,split_around,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,13.049999999999999,0.0,1.0,0.0,1.0,0.8735632183908046,val_split_around_002,1.0,nan,0.0,0.0,0.0,0.0,0.9416666666666667,1.0,13.049999999999999,0.0,1.0,0.0,1.0,0,0.8735632183908046,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,4
method-audit-v2-complete,1.0,20000403,split_around,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,13.049999999999999,0.0,1.0,0.0,1.0,0.8735632183908046,val_split_around_002,1.0,nan,0.0,0.0,0.0,0.0,0.9333333333333333,1.0,11.7,0.0,1.0,1.0,1.0,5,0.717948717948718,1.0,nan,0.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000600,split_around,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,14.85,0.0,1.0,0.0,1.0,0.6060606060606061,val_split_around_002,1.0,nan,0.0,0.0,0.0,0.0,0.925,1.0,13.799999999999999,0.0,1.0,0.0,1.0,2,0.7282608695652174,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,0.0,20000601,split_around,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,15.149999999999999,0.0,1.0,0.0,0.0,0.5346534653465347,val_split_around_002,1.0,nan,0.0,0.0,0.0,0.0,0.8416666666666667,1.0,13.95,0.0,1.0,0.0,1.0,2,0.7311827956989247,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,1,6
method-audit-v2-complete,0.0,20000602,split_around,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,16.05,0.0,1.0,0.0,0.0,0.5046728971962616,val_split_around_002,1.0,nan,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,13.95,0.0,1.0,0.0,1.0,2,0.7311827956989247,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,1,6
method-audit-v2-complete,1.0,20000603,split_around,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,14.7,0.0,1.0,0.0,1.0,0.6938775510204082,val_split_around_002,1.0,nan,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,13.799999999999999,0.0,1.0,0.0,1.0,2,0.7282608695652174,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000400,keep_line_keep,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.36666666666666664,val_keep_line_keep_001,1.0,15.45,0.0,1.0,0.0,1.0,0.9320388349514563,1.0,nan,0.0,0.0,0.0,0.0,1,0.7916666666666666,1.0,nan,1.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000401,keep_line_keep,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,17.25,0.0,1.0,0.0,1.0,0.6173913043478261,val_keep_line_keep_001,1.0,15.6,0.0,1.0,0.0,1.0,0.9230769230769231,1.0,17.4,0.0,1.0,0.0,1.0,1,0.8706896551724138,1.0,nan,1.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000402,keep_line_keep,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,16.2,0.0,1.0,0.0,0.0,0.8981481481481481,val_keep_line_keep_001,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9313725490196079,1.0,16.8,0.0,1.0,0.0,1.0,2,0.8035714285714286,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,4
method-audit-v2-complete,1.0,20000403,keep_line_keep,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.35,val_keep_line_keep_001,1.0,15.75,0.0,1.0,0.0,1.0,0.9238095238095239,1.0,nan,0.0,0.0,0.0,0.0,4,0.48333333333333334,1.0,nan,1.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000600,keep_line_keep,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.31666666666666665,val_keep_line_keep_001,1.0,15.6,0.0,1.0,0.0,1.0,0.9134615384615384,1.0,nan,0.0,0.0,0.0,0.0,5,0.475,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000601,keep_line_keep,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.325,val_keep_line_keep_001,1.0,15.6,0.0,1.0,0.0,1.0,0.9134615384615384,1.0,nan,0.0,0.0,0.0,0.0,3,0.44166666666666665,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000602,keep_line_keep,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,1.0,0.0,1.0,0.0,0.325,val_keep_line_keep_001,1.0,15.75,0.0,1.0,0.0,1.0,0.9047619047619048,1.0,nan,0.0,0.0,0.0,0.0,3,0.5666666666666667,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
