team_size,topology_id,fixture_class,episode_count,valid_initial_condition_rate,collision_free_rate,dwell_completion_rate,goal_reaching_rate,deadlock_rate,numerical_failure_rate,minimum_robot_robot_distance_meters,mean_initial_formation_error_meters,mean_maximum_formation_error_meters,mean_final_formation_error_meters,mean_final_goal_error_meters,mean_saturation_rate,mean_projection_intervention_rate,projection_infeasible_count,solver_failure_count,median_of_episode_controller_latency_seconds
8,5,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.9,2.6656007424024197e-08,2.6656007424024197e-08,2.6656007424024197e-08,0.0,0.0,0.0,0,0,0.000630979000000309
12,0,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8259425120815785,0.054382553861408924,0.054382553861408924,0.0007088145712721366,9.032273815970561e-05,0.0,0.0,0,0,0.0009865205000001431
12,0,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.79114295401903,3.371747876161245e-08,0.07773249099980065,0.0017014139678870651,8.785323389166764e-05,0.0,0.0,0,0,0.000983291499999872
12,0,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7512925412710164,0.054382553861408924,0.09732387524936029,0.001772678685994914,0.00019561705837088818,0.0,0.0,0,0,0.0009863750000000948
12,0,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.9,3.371747876161245e-08,3.371747876161245e-08,3.371747876161245e-08,1.850371707708594e-17,0.0,0.0,0,0,0.0009735839999991391
12,2,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8237580748851717,0.054382633466675746,0.054382633466675746,0.0008203883759469746,9.13541100301805e-05,0.0,0.0,0,0,0.0006868544999996118
12,2,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7969041515055509,1.9073486345888568e-07,0.07951107937325678,0.0017289308141937372,0.00011763929490581653,0.0,0.0,0,0,0.0006891044999992602
12,2,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7766549204343638,0.054382633466675746,0.09815965560825765,0.0017296340224631783,0.00021154407883211388,0.0,0.0,0,0,0.0006932499999994235
12,2,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8999999999999999,1.9073486345888568e-07,1.9073486345888568e-07,1.9073486345888568e-07,0.0,0.0,0.0,0,0,0.0006444584999991676
12,5,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8052020462576758,0.05438255088021641,0.05438255088021641,0.0006977174923302166,9.128294101685505e-05,0.0,0.0,0,0,0.0009737914999998765
12,5,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7680841380676058,2.6656007424024197e-08,0.08101946014722146,0.0016570177204209328,0.00011374116054765181,0.0,0.0,0,0,0.0009704789999993579
12,5,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7457986878096637,0.05438255088021641,0.10339654050305662,0.0017925511255716515,0.0002466434893636425,0.0,0.0,0,0,0.0009719794999991649
12,5,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8999999999999999,2.6656007424024197e-08,2.6656007424024197e-08,2.6656007424024197e-08,0.0,0.0,0.0,0,0,0.0009411250000006532
16,0,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8171014151612774,0.05655455638009046,0.05655455638009046,0.00083002033663662,7.376729886066766e-05,0.0,0.0,0,0,0.0013768955000008631
16,0,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.785452971455664,3.371747868310783e-08,0.08261595647510143,0.001775913893550454,8.257870592510992e-05,0.0,0.0,0,0,0.0013768335000001741
16,0,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7669609925635408,0.05655455638009046,0.09597662631646516,0.002146606809387709,0.00017642753278734503,0.0,0.0,0,0,0.0013662085000021307
16,0,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.9,3.371747868310783e-08,3.371747868310783e-08,3.371747868310783e-08,2.7755575615628914e-17,0.0,0.0,0,0,0.0013279585000001148
16,2,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8120266744522744,0.05655448493556572,0.05655448493556572,0.0008304752132031166,0.00010183516191767633,0.0,0.0,0,0,0.0008039790000005098
16,2,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7821304619121473,1.9073486345888568e-07,0.08269007161278429,0.001896719725856776,0.00012033093497148448,0.0,0.0,0,0,0.000811667000000682
16,2,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.790861270928861,0.05655448493556572,0.09787476659926529,0.0017812049962272667,0.00017408254798719495,0.0,0.0,0,0,0.0008090625000001239
16,2,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8999999999999995,1.9073486345888568e-07,1.9073486345888568e-07,1.9073486345888568e-07,5.551115123125783e-17,0.0,0.0,0,0,0.0007551454999994434
16,5,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8052020462576758,0.05655452577511231,0.05655452577511231,0.0008176012100974038,0.00011341733640373736,0.0,0.0,0,0,0.0010937085000009006
16,5,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7680840132163405,9.610960192450418e-08,0.08486012620831966,0.001678194651714106,8.525070101579053e-05,0.0,0.0,0,0,0.0010996460000001207
